"2021-12-29 [restartedMain] INFO  c.d.foodtrack.FoodTrackApplication - Starting FoodTrackApplication using Java 15.0.2 on DESKTOP-A8E6OVC with PID 4240 (D:\ALEX\STUDY\5SEM_3COURSE\MTOPIL\FoodTrack\target\classes started by ON in D:\ALEX\STUDY\5SEM_3COURSE\MTOPIL\FoodTrack)
""2021-12-29 [restartedMain] INFO  c.d.foodtrack.FoodTrackApplication - No active profile set, falling back to default profiles: default
""2021-12-29 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
""2021-12-29 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
""2021-12-29 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
""2021-12-29 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 157 ms. Found 6 JPA repository interfaces.
""2021-12-29 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
""2021-12-29 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
""2021-12-29 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.55]
""2021-12-29 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
""2021-12-29 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 4377 ms
""2021-12-29 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
""2021-12-29 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
""2021-12-29 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure Ant [pattern='/static'] with []
""2021-12-29 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure Ant [pattern='/static/**'] with []
""2021-12-29 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure Ant [pattern='/static/**/**'] with []
""2021-12-29 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@8323385, org.springframework.security.web.context.SecurityContextPersistenceFilter@3567d882, org.springframework.security.web.header.HeaderWriterFilter@43182b24, org.springframework.web.filter.CorsFilter@7a6fc6b6, org.springframework.security.web.authentication.logout.LogoutFilter@7a374a7c, com.divided.foodtrack.security.jwt.JwtTokenFilter@63f673d9, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@20951ce, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@70b888e2, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@100c3eae, org.springframework.security.web.session.SessionManagementFilter@4ed079c1, org.springframework.security.web.access.ExceptionTranslationFilter@3929b21c, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@394211c5]
""2021-12-29 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
""2021-12-29 [http-nio-8080-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
""2021-12-29 [restartedMain] INFO  c.d.foodtrack.FoodTrackApplication - Started FoodTrackApplication in 14.319 seconds (JVM running for 16.242)
""2021-12-29 [http-nio-8080-exec-5] INFO  com.divided.foodtrack.logging.Logger - Method: index, args: []
""2021-12-29 [http-nio-8080-exec-5] INFO  com.divided.foodtrack.logging.Logger - Method index returns ModelAndView [view="signInPage"; model=null]
""2021-12-29 [http-nio-8080-exec-10] INFO  com.divided.foodtrack.logging.Logger - Method: index, args: []
""2021-12-29 [http-nio-8080-exec-10] INFO  com.divided.foodtrack.logging.Logger - Method index returns ModelAndView [view="signInPage"; model=null]
""2021-12-29 [http-nio-8080-exec-3] INFO  com.divided.foodtrack.logging.Logger - Method: login, args: [com.divided.foodtrack.DTO.LogInForm@31206008, org.springframework.security.web.header.HeaderWriterFilter$HeaderWriterResponse@26050758]
""2021-12-29 [http-nio-8080-exec-7] INFO  com.divided.foodtrack.logging.Logger - Method: login, args: [com.divided.foodtrack.DTO.LogInForm@74eb0400, org.springframework.security.web.header.HeaderWriterFilter$HeaderWriterResponse@40f78d1b]
""2021-12-29 [http-nio-8080-exec-7] INFO  com.divided.foodtrack.logging.Logger - Method: createToken, args: [AdminLogin]
""2021-12-29 [http-nio-8080-exec-7] INFO  com.divided.foodtrack.logging.Logger - Method createToken returns eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJBZG1pbkxvZ2luIiwicm9sZXMiOlsiUk9MRV9BRE1JTiJdLCJpYXQiOjE2NDA3NjE4MzgsImV4cCI6MTY0MDc2NTQzOH0.ClRmZtgaJX3nxFRrFU3A7PAoJRThQaS-gCdQFgNBztA
""2021-12-29 [http-nio-8080-exec-7] INFO  com.divided.foodtrack.logging.Logger - Method login returns null
""2021-12-29 [http-nio-8080-exec-9] INFO  com.divided.foodtrack.logging.Logger - Method: index, args: []
""2021-12-29 [http-nio-8080-exec-9] INFO  com.divided.foodtrack.logging.Logger - Method index returns ModelAndView [view="userPage"; model=null]
""2021-12-29 [http-nio-8080-exec-2] INFO  com.divided.foodtrack.logging.Logger - Method: getPaginatedDiet, args: [AdminLogin, 10, 1, 2021-12-29, dinnerDay]
""2021-12-29 [http-nio-8080-exec-10] INFO  com.divided.foodtrack.logging.Logger - Method: getPaginatedDiet, args: [AdminLogin, 10, 1, 2021-12-29, lunch]
""2021-12-29 [http-nio-8080-exec-7] INFO  com.divided.foodtrack.logging.Logger - Method: getAllDiet, args: [1, 2021-12-29]
""2021-12-29 [http-nio-8080-exec-1] INFO  com.divided.foodtrack.logging.Logger - Method: getPaginatedDiet, args: [AdminLogin, 10, 1, 2021-12-29, breakfast]
""2021-12-29 [http-nio-8080-exec-3] INFO  com.divided.foodtrack.logging.Logger - Method: getPaginatedDiet, args: [AdminLogin, 10, 1, 2021-12-29, dinnerNight]
""2021-12-29 [http-nio-8080-exec-6] INFO  com.divided.foodtrack.logging.Logger - Method: getPaginatedDiet, args: [AdminLogin, 10, 1, 2021-12-29, afternoon]
